name,displayName,shortDisplayName,description,abbreviation,value,displayValue,perGameValue,perGameDisplayValue,rank,rankDisplayValue,categories,team_id,join_col,document_id,ref,season_ref,team_ref,splits_id,splits_name,splits_abbreviation,splits_type,season_type_ref,json
blocks,Blocks,BLK,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",BLK,158,158,3,3,7,7th,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
defensiveRebounds,Defensive Rebounds,DREB,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,DR,971,971,24,24,12,12th,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
steals,Steals,STL,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,STL,285,285,7,7,8,8th,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
avgDefensiveRebounds,Defensive Rebounds Per Game,DRPG,The average defensive rebounds per game.,DR,24.275,24.3,NA,NA,NA,NA,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
avgBlocks,Blocks Per Game,BPG,The average blocks per game.,BLK,3.95,4.0,NA,NA,NA,NA,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
avgSteals,Steals Per Game,SPG,The average steals per game.,STL,7.125,7.1,NA,NA,NA,NA,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
avg48DefensiveRebounds,Defensive Rebounds Per 48,DREB/48,The average number of defensive rebounds per 48 minutes.,DR,0,0.0,NA,NA,NA,NA,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
avg48Blocks,Blocks Per 48,BLK/48,The average number of blocks per 48 minutes.,BLK,0,0.0,NA,NA,NA,NA,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
avg48Steals,Steals Per 48,STL/48,The average number of steals per 48 minutes.,STL,0,0.0,NA,NA,NA,NA,Defensive,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
disqualifications,Disqualifications,DQ,The number of times a player reached the foul limit.,DQ,2,2,NA,NA,3,Tied-3rd,General,3,1,1,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2/teams/3/statistics/0?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024?lang=en&region=us,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/teams/3?lang=en&region=us,0,All Splits,Total,total,http://sports.core.api.espn.com/v2/sports/basketball/leagues/wnba/seasons/2024/types/2?lang=en&region=us,
